연관단어1,점수1,연관단어2,점수2,연관단어3,점수3,연관단어4,점수4,연관단어5,점수5
대통령,24,광주,14,지역,10,군,8,공항,8
참전,11,전쟁,10,용,8,생존,5,국군,4
미국,18,나토,14,이란,10,비,10,국방,9
이란,10,전쟁,9,미국,8,공격,8,대만,5
일꾼,4,무릎,4,치료,4,연상,4,배우,4
고현정,6,배우,5,무릎,4,치료,4,연상,4
공효진,9,여행,5,일꾼,4,연상,4,벨기에,4
롯데,12,다이노스,7,데이비슨,7,경기,7,안타,6
영수,9,영숙,6,연락,5,선택,5,일꾼,4
무릎,4,치료,3,밀라노,3,한국,3,서울,3
한가인,6,배우,5,일꾼,4,무릎,4,연상,4
트럼프,13,이란,10,소셜미디어,9,외교,8,미국,7
문학,8,선생,6,김현,5,무릎,4,대한,4
승,15,라일,13,승리,12,리,11,경기,9
이봉원,8,고현정,6,아내,5,박미선,5,연상,4
특검,3,발행,2,체포영장,2,내란,2,서울특별시,2
발행,2,서울특별시,2,크기,1,학습,1,방지,1
가야,3,건아,2,발행,2,동아,2,나라,2
발행,2,서울특별시,2,크기,1,학습,1,방지,1
발행,2,대책,2,서울특별시,2,크기,1,못,1
발행,2,경력,2,서울특별시,2,크기,1,코스피,1
발행,2,서울특별시,2,크기,1,명운,1,학습,1
발행,2,논설,2,위원,2,서울특별시,2,크기,1
발행,2,논설,2,위원,2,서울특별시,2,주년,2
발행,2,정치,2,서울특별시,2,크기,1,산업,1
발행,2,갈등,2,서울특별시,2,크기,1,러시아,1
발행,2,서울특별시,2,크기,1,힘,1,학습,1
기능,2,발행,2,서울특별시,2,크기,1,모두,1
발행,2,행복,2,서울특별시,2,크기,1,학습,1
발행,2,서울특별시,2,크기,1,학습,1,중요성,1
재난,6,경제,4,남북,3,김민석,2,후보자,2
애경,6,케미칼,6,체계,4,기술,4,연구,3
장관,18,재판,17,구속,11,추가,8,내란,8
후보자,13,의혹,10,청문회,8,국민,8,민주당,7
국방,15,나토,14,비,14,지출,6,합의,5
이스라엘,16,이란,15,가자지구,11,중동,7,핵,6
이스라엘,18,이란,18,휴전,8,대통령,5,트럼프,5
우크라이나,13,렌스,10,젤,10,키,10,러시아,9
이란,24,대통령,15,핵,10,트럼프,10,협상,9
장관,9,법,8,농업,7,농,6,망법,5
훈련,15,사격,9,군,5,정부,5,도서,4
이란,17,핵,15,시설,12,트럼프,8,보고서,7
접촉,12,남북,11,북한,10,신고,10,통일부,6
특검,31,대통령,27,윤,26,체포영장,18,출석,16
대통령,14,문제,9,광주,9,대통령실,8,공항,6
한국,9,학살,8,퐁,8,마을,6,하미,6
인상,13,요금,13,버스,10,제주도,8,내년,5
의원,18,간염,17,주진우,13,면제,12,급성,10
관광,23,지역,9,한국,9,경주,8,경북,8
구속,9,장관,8,재판,7,멸,5,증거,5
완주,29,통합,24,군민,14,김관영,13,전주,11
물놀이,6,개장,4,이용,4,운,3,시안,3
워크숍,9,탄소,6,포항시,6,중립,5,전환,5
로타리,10,클럽,9,회장,7,강호,7,포항,5
의원,11,결산,10,예산,10,특별,9,건의,8
추행,4,경찰,4,입건,4,시안,3,호,3
교육,32,학교,18,확대,15,지원,12,교육감,11
방문,9,완주,8,김관영,8,대화,5,전북지사,5
대통령,17,체포영장,12,특검,12,윤,12,출석,10
해수부,13,이전,11,부산,11,대통령,6,위원장,6
화재,7,발생,5,부산,5,아파트,5,언니,4
