연관단어1,점수1,연관단어2,점수2,연관단어3,점수3,연관단어4,점수4,연관단어5,점수5
남성,9,연습,9,골프,8,구속,5,관광객,4
마음,16,서울,13,팬,10,골프,10,선수,9
