"트렌드","검색량","시작일","종료","트렌드 분석","탐색 링크"
"지하철 방화","2천+","2025년 6월 25일 오후 4시 30분 0초 UTC+9","2025년 6월 26일 오후 1시 30분 0초 UTC+9","지하철 방화,5호선,지하철 5호선 방화범,방화범","https://trends.google.co.kr/trends/explore?q=%EC%A7%80%ED%95%98%EC%B2%A0%20%EB%B0%A9%ED%99%94&geo=KR&hl=ko"
"가천대","500+","2025년 6월 25일 오후 10시 0분 0초 UTC+9","2025년 6월 26일 오후 1시 10분 0초 UTC+9","가천대","https://trends.google.co.kr/trends/explore?q=%EA%B0%80%EC%B2%9C%EB%8C%80&geo=KR&hl=ko"
"기각","1천+","2025년 6월 25일 오후 8시 0분 0초 UTC+9","2025년 6월 26일 오전 9시 40분 0초 UTC+9","기각,윤석열 체포영장","https://trends.google.co.kr/trends/explore?q=%EA%B8%B0%EA%B0%81&geo=KR&hl=ko"
"토스 행운퀴즈 정답","1천+","2025년 6월 26일 오전 10시 20분 0초 UTC+9","2025년 6월 26일 오전 11시 50분 0초 UTC+9","토스 행운퀴즈 정답,토스퀴즈정답,토스퀴즈,알바천국 토스퀴즈","https://trends.google.co.kr/trends/explore?q=%ED%86%A0%EC%8A%A4%20%ED%96%89%EC%9A%B4%ED%80%B4%EC%A6%88%20%EC%A0%95%EB%8B%B5&geo=KR&hl=ko"
"정령왕","100+","2025년 6월 26일 오후 1시 20분 0초 UTC+9","2025년 6월 26일 오후 2시 30분 0초 UTC+9","정령왕","https://trends.google.co.kr/trends/explore?q=%EC%A0%95%EB%A0%B9%EC%99%95&geo=KR&hl=ko"
"australia vs west indies","500+","2025년 6월 25일 오후 11시 20분 0초 UTC+9","2025년 6월 26일 오전 9시 10분 0초 UTC+9","australia vs west indies","https://trends.google.co.kr/trends/explore?q=australia%20vs%20west%20indies&geo=KR&hl=ko"
"김용현","1천+","2025년 6월 25일 오후 8시 40분 0초 UTC+9","2025년 6월 26일 오전 7시 20분 0초 UTC+9","김용현,김용현 구속","https://trends.google.co.kr/trends/explore?q=%EA%B9%80%EC%9A%A9%ED%98%84&geo=KR&hl=ko"
"심슨","100+","2025년 6월 26일 오후 12시 30분 0초 UTC+9","2025년 6월 26일 오후 2시 30분 0초 UTC+9","심슨","https://trends.google.co.kr/trends/explore?q=%EC%8B%AC%EC%8A%A8&geo=KR&hl=ko"
"김영록","500+","2025년 6월 25일 오후 5시 40분 0초 UTC+9","2025년 6월 26일 오전 9시 10분 0초 UTC+9","김영록","https://trends.google.co.kr/trends/explore?q=%EA%B9%80%EC%98%81%EB%A1%9D&geo=KR&hl=ko"
"쿠퍼 플래그","100+","2025년 6월 26일 오후 1시 0분 0초 UTC+9","2025년 6월 26일 오후 2시 20분 0초 UTC+9","쿠퍼 플래그","https://trends.google.co.kr/trends/explore?q=%EC%BF%A0%ED%8D%BC%20%ED%94%8C%EB%9E%98%EA%B7%B8&geo=KR&hl=ko"
"제주항공","1천+","2025년 6월 26일 오전 10시 20분 0초 UTC+9","2025년 6월 26일 오전 11시 0분 0초 UTC+9","제주항공","https://trends.google.co.kr/trends/explore?q=%EC%A0%9C%EC%A3%BC%ED%95%AD%EA%B3%B5&geo=KR&hl=ko"
"마이크론 주가","500+","2025년 6월 26일 오전 7시 10분 0초 UTC+9","2025년 6월 26일 오전 9시 40분 0초 UTC+9","마이크론 주가,마이크론,마이크론 실적","https://trends.google.co.kr/trends/explore?q=%EB%A7%88%EC%9D%B4%ED%81%AC%EB%A1%A0%20%EC%A3%BC%EA%B0%80&geo=KR&hl=ko"
"정승제","200+","2025년 6월 25일 오후 11시 10분 0초 UTC+9","2025년 6월 26일 오후 2시 0분 0초 UTC+9","정승제","https://trends.google.co.kr/trends/explore?q=%EC%A0%95%EC%8A%B9%EC%A0%9C&geo=KR&hl=ko"
"에인절스 대 레드삭스","500+","2025년 6월 25일 오후 3시 50분 0초 UTC+9","2025년 6월 26일 오전 9시 10분 0초 UTC+9","에인절스 대 레드삭스","https://trends.google.co.kr/trends/explore?q=%EC%97%90%EC%9D%B8%EC%A0%88%EC%8A%A4%20%EB%8C%80%20%EB%A0%88%EB%93%9C%EC%82%AD%EC%8A%A4&geo=KR&hl=ko"
"동학농민운동 수당","200+","2025년 6월 26일 오전 11시 40분 0초 UTC+9","2025년 6월 26일 오후 1시 50분 0초 UTC+9","동학농민운동 수당","https://trends.google.co.kr/trends/explore?q=%EB%8F%99%ED%95%99%EB%86%8D%EB%AF%BC%EC%9A%B4%EB%8F%99%20%EC%88%98%EB%8B%B9&geo=KR&hl=ko"
"류준열 송혜교","200+","2025년 6월 26일 오전 9시 10분 0초 UTC+9","2025년 6월 26일 오전 11시 50분 0초 UTC+9","류준열 송혜교","https://trends.google.co.kr/trends/explore?q=%EB%A5%98%EC%A4%80%EC%97%B4%20%EC%86%A1%ED%98%9C%EA%B5%90&geo=KR&hl=ko"
"박봄","100+","2025년 6월 26일 오전 11시 30분 0초 UTC+9","2025년 6월 26일 오후 12시 50분 0초 UTC+9","박봄","https://trends.google.co.kr/trends/explore?q=%EB%B0%95%EB%B4%84&geo=KR&hl=ko"
"멸종위기종","200+","2025년 6월 26일 오전 9시 20분 0초 UTC+9","2025년 6월 26일 오전 11시 0분 0초 UTC+9","멸종위기종","https://trends.google.co.kr/trends/explore?q=%EB%A9%B8%EC%A2%85%EC%9C%84%EA%B8%B0%EC%A2%85&geo=KR&hl=ko"
