단어,점수
진료,23
주춤,23
생생,23
대응,23
소록도,23
의원,23
의제,23
구금,23
은행,23
층,23
해상,23
수능,23
관계자,23
응답,23
주민,23
발송,23
차량,23
의견,23
제네바,23
소방,23
눈,23
고교,23
행락,23
법의학,23
훈련,23
하천,23
번호,23
김정은,23
원내,23
전문,23
올리브영,23
티어,23
지도,23
혐오,23
안보,23
사업자,23
김정철,23
움직임,23
랩,23
자주포,23
포함,23
대비,23
수조,23
모델,23
도쿄,23
미나,23
용지,23
확인,23
자주,23
회동,23
미스터리,23
소개,23
여야,23
도구,23
오찬,23
의약외품,23
실시,23
언니,23
시,23
추방,23
추론,23
더존,23
거주,23
생활,22
에이펙,22
예고편,22
서문,22
개시,22
의식,22
베냐민,22
점령,22
혼란,22
빈,22
법무,22
불허,22
령,22
고등학교,22
혹,22
